,user_id,sequence_movie_ids,sequence_ratings,sex,age_group,occupation
0,1910,"3327,3285,3452,3821,3908,3790,3743,3793","5,3,4,4,5,4,4,5",1,0,10
1,1910,"3327,3285,3452,3821,3908,3790,3743,3565","5,3,4,4,5,4,4,5",1,0,10
2,1910,"3327,3285,3452,3821,3908,3790,3743,3790","5,3,4,4,5,4,4,5",1,0,10
3,1910,"3327,3285,3452,3821,3908,3790,3743,2794","5,3,4,4,5,4,4,5",1,0,10
4,1910,"3327,3285,3452,3821,3908,3790,3743,3327","5,3,4,4,5,4,4,5",1,0,10
5,1910,"3327,3285,3452,3821,3908,3790,3743,3452","5,3,4,4,5,4,4,5",1,0,10
6,1910,"3327,3285,3452,3821,3908,3790,3743,2325","5,3,4,4,5,4,4,5",1,0,10
7,1910,"3327,3285,3452,3821,3908,3790,3743,3623","5,3,4,4,5,4,4,5",1,0,10
8,1910,"3327,3285,3452,3821,3908,3790,3743,3857","5,3,4,4,5,4,4,5",1,0,10
9,1910,"3327,3285,3452,3821,3908,3790,3743,3618","5,3,4,4,5,4,4,5",1,0,10
